Baseline,Model,Macro-F1,Accuracy,Trainable Params,Training Time (s),Best Val F1
B1,ResNet-50,0.9951092825706551,0.9964399705376872,23585894,3611.0173847675323,0.9963512085335843
B2,EfficientNet-B3,0.9923380626579185,0.995089614534741,10754638,4562.457005023956,0.9940487172761724
B3,I-JEPA ViT-H/14 Linear Probe (generic),0.982753509836056,0.987601276700221,48678,27.25556445121765,0.9818853721862815
B4,I-JEPA ViT-H/14 Full Fine-Tune,0.996442334976005,0.997422047630739,630812198,9891.847339868546,0.9962735293190151
B5,Leaf-JEPA ViT-H/14 Linear Probe (domain),0.9877591029639613,0.9909157868892708,48678,15.09563398361206,0.9859740205566588
